model;kms;img;title;link;price;year;maker;cc;type
PULSAR 200 NS PRO;0;http://mco-s2-p.mlstatic.com/bajaj-pulsar-200-ns-pro-2017-126-cc-250-cc-616501-MCO20348876294_072015-O.jpg;Bajaj Pulsar 200 Ns Pro 2017 .126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-421972452-bajaj-pulsar-200-ns-pro-2017-126-cc-250-cc-_JM; 8590000;2017;Bajaj;126 cc - 250 cc;De Calle
CT Boxer;17290;http://mco-s2-p.mlstatic.com/bajaj-ct-boxer-051-cc-125-cc-805711-MCO20609199402_022016-O.jpg;Bajaj Ct Boxer 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422648189-bajaj-ct-boxer-051-cc-125-cc-_JM; 3200000;2014;Bajaj;051 cc - 125 cc;De Calle
PULSAR 135;40000;http://mco-s2-p.mlstatic.com/bajaj-pulsar-135-126-cc-250-cc-607121-MCO20714427142_052016-O.jpg;Bajaj Pulsar 135 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422939407-bajaj-pulsar-135-126-cc-250-cc-_JM; 3200000;2013;Bajaj;126 cc - 250 cc;De Calle
2016;10000;http://mco-s2-p.mlstatic.com/bajaj-2016-051-cc-125-cc-721121-MCO20716387557_052016-O.jpg;Bajaj 2016 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422969395-bajaj-2016-051-cc-125-cc-_JM; 3000000;2016;Bajaj;051 cc - 125 cc;De Calle
VICTORY;7078;http://mco-s1-p.mlstatic.com/bajaj-victory-126-cc-250-cc-808121-MCO20701855457_052016-O.jpg;Bajaj Victory 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422799277-bajaj-victory-126-cc-250-cc-_JM; 4200000;2016;Bajaj;126 cc - 250 cc;De Calle
PULSAR 200 NS ;20000;http://mco-s2-p.mlstatic.com/bajaj-pulsar-200-ns-126-cc-250-cc-252321-MCO20727556282_052016-O.jpg;Bajaj Pulsar 200 Ns 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423187094-bajaj-pulsar-200-ns-126-cc-250-cc-_JM; 6600000;2014;Bajaj;126 cc - 250 cc;De Calle
2015;18000;http://mco-s2-p.mlstatic.com/bajaj-2015-126-cc-250-cc-863121-MCO20705086622_052016-O.jpg;Bajaj 2015 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422836669-bajaj-2015-126-cc-250-cc-_JM; 6500000;2015;Bajaj;126 cc - 250 cc;De Calle
Pulsar 180 UG;32800;http://mco-s1-p.mlstatic.com/bajaj-pulsar-180-ug-126-cc-250-cc-268221-MCO20729609055_052016-O.jpg;Bajaj Pulsar 180 Ug 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423229305-bajaj-pulsar-180-ug-126-cc-250-cc-_JM; 3800000;2011;Bajaj;126 cc - 250 cc;De Calle
PULSAR 135 LS;10430;http://mco-s2-p.mlstatic.com/bajaj-pulsar-135-ls-126-cc-250-cc-503321-MCO20728987570_052016-O.jpg;Bajaj Pulsar 135 Ls 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423216926-bajaj-pulsar-135-ls-126-cc-250-cc-_JM; 3600000;2014;Bajaj;126 cc - 250 cc;De Calle
Boxer 100;47000;http://mco-s2-p.mlstatic.com/bajaj-boxer-100-051-cc-125-cc-339021-MCO20688894131_042016-O.jpg;Bajaj Boxer 100 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422531431-bajaj-boxer-100-051-cc-125-cc-_JM; 1900000;2010;Bajaj;051 cc - 125 cc;De Calle
Pulsar 220 F;53900;http://mco-s1-p.mlstatic.com/bajaj-de-calle-126-cc-250-cc-520611-MCO20582397619_022016-O.jpg;Bajaj De Calle 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-421822942-bajaj-de-calle-126-cc-250-cc-_JM; 5500000;2013;Bajaj;126 cc - 250 cc;De Calle
DISCOVER 125;16500;http://mco-s1-p.mlstatic.com/bajaj-discover-125-051-cc-125-cc-827021-MCO20692801832_042016-O.jpg;Bajaj Discover 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-422644492-bajaj-discover-125-051-cc-125-cc-_JM; 3500000;2015;Bajaj;051 cc - 125 cc;De Calle
Pulsar 180 UG;28400;http://mco-s2-p.mlstatic.com/bajaj-pulsar-180-ug-126-cc-250-cc-767121-MCO20704028198_052016-O.jpg;Bajaj Pulsar 180 Ug 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422821792-bajaj-pulsar-180-ug-126-cc-250-cc-_JM; 4500000;2012;Bajaj;126 cc - 250 cc;De Calle
Pulsar 200NS;18000;http://mco-s2-p.mlstatic.com/bajaj-pulsar-200ns-126-cc-250-cc-235121-MCO20714418549_052016-O.jpg;Bajaj Pulsar 200ns 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422939326-bajaj-pulsar-200ns-126-cc-250-cc-_JM; 7200000;2015;Bajaj;126 cc - 250 cc;De Calle
Pulsar 135;15300;http://mco-s2-p.mlstatic.com/bajaj-135-126-cc-250-cc-2015-999021-MCO20684331588_042016-O.jpg;Bajaj 135 126 Cc - 250 Cc 2015;http://articulo.tumoto.com.co/MCO-422310086-bajaj-135-126-cc-250-cc-2015-_JM; 3800000;2015;Bajaj;126 cc - 250 cc;De Calle
Pulsar 200 NS;34300;http://mco-s1-p.mlstatic.com/bajaj-pulsar-200-ns-126-cc-250-cc-275021-MCO20699896765_052016-O.jpg;Bajaj Pulsar 200 Ns 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-422771478-bajaj-pulsar-200-ns-126-cc-250-cc-_JM; 6500000;2014;Bajaj;126 cc - 250 cc;De Calle
Pulsar 200 NS;14000;http://mco-s1-p.mlstatic.com/bajaj-126-cc-250-cc-2014-556911-MCO20657988302_042016-O.jpg;Bajaj 126 Cc - 250 Cc 2014;http://articulo.tumoto.com.co/MCO-421631598-bajaj-126-cc-250-cc-2014-_JM; 6500000;2014;Bajaj;126 cc - 250 cc;De Calle
